product_id,crop_category,crop,variety_name,duration_days,season,plant_height,key_traits,pest_disease_tolerance,fruit_grain_quality,yield_indicator,recommended_irrigation,target_problem_fit,target_region,mrp_inr,pack_size,distributor_availability,approved_for_recommendation,image_url,source_url,last_verified_date
SBN001,Field Crop,Soybean,VIGOUR KARISHMA,90-95,Kharif,55-60 cm,Semi-determinate; 5-6 branches; medium seed; 100 seed wt 12-13gm; yellow seed,Tolerant to YMV & Rust,Medium yellow seed,Standard,Rainfed/Irrigated,Standard sowing; YMV/Rust prone areas,"MP, MH, RJ",,30 kg,,Y,https://vigourseeds.in/images/soyabean-1.png,https://vigourseeds.in/soybean.php,2026-04-23
SBN002,Field Crop,Soybean,VIGOUR 11,90-95,Kharif,55-60 cm,Semi-determinate; 4-5 branches; medium seed; 100 seed wt 12-13gm,Tolerant to YMV & Rust,Medium seed,Standard,Rainfed/Irrigated,General-purpose kharif sowing,"MP, MH, RJ",,30 kg,,Y,https://vigourseeds.in/images/soyabean-2.png,https://vigourseeds.in/soybean.php,2026-04-23
SBN003,Field Crop,Soybean,VIGOUR MALVIKA,95-100,Kharif,55-60 cm,"Semi-determinate; 5-6 branches; black hilum, yellow seed; 100 seed wt 12-13gm",Resistant to major insect pest & disease,Premium yellow seed with black hilum,High disease pressure,Rainfed/Irrigated,Areas with heavy pest/disease pressure,"MP, MH, RJ",,30 kg,,Y,https://vigourseeds.in/images/soyabean-3.png,https://vigourseeds.in/soybean.php,2026-04-23
SBN004,Field Crop,Soybean,VIGOUR KRASHIKA,93-95,Kharif,55-65 cm,Semi-determinate; 5-6 branches; medium seed; 100 seed wt 12-13gm,Tolerant to YMV & Rust,Medium seed,Standard,Rainfed/Irrigated,Mid-duration general-purpose,"MP, MH, RJ",,30 kg,,Y,https://vigourseeds.in/images/soyabean-4.jpg,https://vigourseeds.in/soybean.php,2026-04-23
SBN005,Field Crop,Soybean,VIGOUR KARISHMA 999,93-97,Kharif,55-60 cm,"Semi-determinate, semi-erect; pod yellowish brown; no pod shattering",Tolerant to major insect pest & disease,No pod shattering — reduces field loss,High yield,Rainfed/Irrigated,Late harvest / shattering-prone areas,"MP, MH, RJ",,30 kg,,Y,https://vigourseeds.in/images/soyabean-5.png,https://vigourseeds.in/soybean.php,2026-04-23
SBN006,Field Crop,Soybean,VIGOUR 7007,93-97,Kharif,55-60 cm,Determinate; 4-5 branches; bold seed; 100 seed wt 13-14gm,"Resistant to major insect, pest & disease",Bold seed — premium grade,High yield,Rainfed/Irrigated,Quality-conscious / mandi premium areas,"MP, MH, RJ",,30 kg,,Y,https://vigourseeds.in/images/soyabean-6.png,https://vigourseeds.in/soybean.php,2026-04-23
SBN007,Field Crop,Soybean,VIGOUR 444,93-97,Kharif,55-65 cm,Semi-determinate; 4-5 branches; medium seed; 100 seed wt 12-13gm,Standard,Medium seed,Standard,Rainfed/Irrigated,General-purpose,"MP, MH, RJ",,30 kg,,Y,https://vigourseeds.in/images/soyabean-7.jpg,https://vigourseeds.in/soybean.php,2026-04-23
SBN008,Field Crop,Soybean,VIGOUR PRATHVIRAJ,93-97,Kharif,55-60 cm,Semi-determinate; medium tall; four-seeded pods more; wide adaptability,Tolerant to major insect pest & disease,4-seeded pods (higher kernel count),High yield potential,Rainfed/Irrigated,Maximum yield / commercial growers,"MP, MH, RJ",,30 kg,,Y,https://vigourseeds.in/images/soyabean-8.jpg,https://vigourseeds.in/soybean.php,2026-04-23
MZE001,Field Crop,Maize,VIGOUR 60A90,120-125,Kharif & Rabi,Standard,Shelling 84-85%; cob 20-22cm; 40-44 grains/row; medium orange grain; stay green; drought tolerant,Highly tolerant to TLB & stem borer,Medium orange — good fodder also,High yield,Rainfed/Irrigated,Drought / TLB / stem borer prone areas,"MP, RJ, GJ",,4 kg,,Y,https://vigourseeds.in/images/corn-1.png,https://vigourseeds.in/corn.php,2026-04-23
MZE002,Field Crop,Maize,VIGOUR 30A90,115-120,Kharif & Rabi,Semi-erect,Cob 20-22cm; medium orange grain; early maturity; uniform ear size; stay green,Standard,Medium orange grain — good tip filling,High grain weight,Rainfed/Irrigated,Early-maturity slot / double cropping,"MP, RJ, GJ",,4 kg,,Y,https://vigourseeds.in/images/corn-2.png,https://vigourseeds.in/corn.php,2026-04-23
MZE003,Field Crop,Maize,VIGOUR 555 (Maize),145-150,Rabi only,210-225 cm,"Shelling 84-85%; semi-flint, light orange; cylindrical uniform cobs; stay green till harvest",Tolerant to leaf blight & downy mildew,Light orange semi-flint,High grain weight,Irrigated,Long-duration rabi maize,"MP, BR, UP",,4 kg,,Y,https://vigourseeds.in/images/corn-3.png,https://vigourseeds.in/corn.php,2026-04-23
MZE004,Field Crop,Maize,VIGOUR 007,115-120,Kharif & Rabi,Tall,Lodging resistant; orange-yellow grain; long cob; 16-18 rows; 45-48 grains/row,Standard,Attractive orange-yellow grain,High yield,Rainfed/Irrigated,Lodging-prone / windy areas,"MP, RJ, GJ",,4 kg,,Y,https://vigourseeds.in/images/corn-4.png,https://vigourseeds.in/corn.php,2026-04-23
MZE005,Field Crop,Maize,VIGOUR AAMUKTHA,115-120,Kharif & Rabi,Tall,Lodging resistant; orange-yellow grain; long cob; 16-18 rows; 45-48 grains/row,Standard,Attractive orange-yellow grain,High yield,Rainfed/Irrigated,Lodging-prone areas,"AP, TG, KA",,4 kg,,Y,https://vigourseeds.in/images/corn-5.png,https://vigourseeds.in/corn.php,2026-04-23
MZE006,Field Crop,Maize,VIGOUR 50x50,TBD,TBD,TBD,NEEDS R&D INPUT — variety listed on site without spec sheet,TBD,TBD,TBD,TBD,TBD,TBD,,4 kg,,N,https://vigourseeds.in/images/corn-6.png,https://vigourseeds.in/corn.php,2026-04-23
MZE007,Field Crop,Maize,VIGOUR WHITE COBRA,TBD,TBD,TBD,NEEDS R&D INPUT — white grain variety; spec sheet to be confirmed,TBD,White grain,TBD,TBD,White corn / specialty markets,TBD,,4 kg,,N,https://vigourseeds.in/images/corn-7.png,https://vigourseeds.in/corn.php,2026-04-23
PDY001,Field Crop,Paddy,VIGOUR 087,120-125,Kharif,Standard,Effective tillers; high spikelet fertility; fine slender grain; very good cooking,Tolerant to bacterial blight & blast,Fine slender grain; premium cooking,High yield,Irrigated,Premium fine-grain market,"CG, MP, OD",,20 kg,,Y,https://vigourseeds.in/images/paddy-1.png,https://vigourseeds.in/paddy.php,2026-04-23
PDY002,Field Crop,Paddy,VIGOUR BAJIRAO,115-120,Kharif & Rabi,95-105 cm,Panicle 26-28 cm; bold long cylindrical grain; high yield capacity,Standard,Bold long cylindrical,High yield,Irrigated,Volume / commodity grain market,"CG, MP, OD",,20 kg,,Y,https://vigourseeds.in/images/paddy-2.png,https://vigourseeds.in/paddy.php,2026-04-23
